season,driver,team,races,total_points,avg_grid_position,avg_finish_position,podiums,wins,points_finishes,estimated_overtakes,points_per_race,podium_rate,points_finish_rate,overtakes_per_race,qualifying_score,points_norm,qualifying_norm,podium_norm,overtake_norm,performance_score,season_percentile,driver_class
2018,ALO,McLaren,5,32.0,11.2,6.8,0,0,5,22.0,6.4,0.0,1.0,4.4,7.600000000000001,0.3368421052631579,0.4125000000000001,0.0,0.9523809523809523,0.34615914786967417,0.7,Strong
2018,BOT,Mercedes,5,58.0,5.2,5.6,3,0,4,9.0,11.6,0.6,0.8,1.8,13.600000000000001,0.6105263157894737,0.7875000000000001,0.75,0.3333333333333333,0.6460964912280702,0.9,Elite
2018,ERI,Sauber,5,2.0,17.8,13.6,0,0,1,23.0,0.4,0.0,0.2,4.6,1.0,0.021052631578947368,0.0,0.0,1.0,0.1105263157894737,0.25,Average
2018,GAS,Toro Rosso,5,12.0,14.2,14.2,0,0,1,8.0,2.4,0.0,0.2,1.6,4.600000000000001,0.12631578947368421,0.2250000000000001,0.0,0.2857142857142857,0.1367293233082707,0.35,Average
2018,GRO,Haas F1 Team,5,0.0,12.4,15.8,0,0,0,8.0,0.0,0.0,0.0,1.6,6.4,0.0,0.3375,0.0,0.2857142857142857,0.09607142857142857,0.1,Weak
2018,HAM,Mercedes,5,95.0,3.4,2.2,4,2,5,7.0,19.0,0.8,1.0,1.4,15.4,1.0,0.9,1.0,0.23809523809523808,0.903809523809524,1.0,Elite
2018,HAR,Toro Rosso,5,1.0,16.2,14.8,0,0,1,18.0,0.2,0.0,0.2,3.6,2.6000000000000014,0.010526315789473684,0.10000000000000009,0.0,0.7619047619047619,0.10145363408521306,0.2,Weak
2018,HUL,Renault,5,22.0,10.2,11.4,0,0,3,2.0,4.4,0.0,0.6,0.4,8.600000000000001,0.23157894736842105,0.4750000000000001,0.0,0.0,0.21078947368421055,0.5,Average
2018,LEC,Sauber,5,9.0,16.6,12.0,0,0,2,23.0,1.8,0.0,0.4,4.6,2.1999999999999993,0.09473684210526316,0.07499999999999996,0.0,1.0,0.16236842105263158,0.4,Average
2018,MAG,Haas F1 Team,5,19.0,8.8,10.2,0,0,3,5.0,3.8,0.0,0.6,1.0,10.0,0.2,0.5625,0.0,0.14285714285714285,0.2267857142857143,0.6,Strong
2018,OCO,Force India,5,1.0,10.8,13.6,0,0,1,3.0,0.2,0.0,0.2,0.6,8.0,0.010526315789473684,0.4375,0.0,0.047619047619047616,0.09752506265664161,0.15,Weak
2018,PER,Force India,5,17.0,11.0,10.2,1,0,2,12.0,3.4,0.2,0.4,2.4,7.800000000000001,0.17894736842105263,0.42500000000000004,0.25,0.47619047619047616,0.27209273182957394,0.65,Strong
2018,RAI,Ferrari,5,48.0,3.2,8.6,3,0,3,4.0,9.6,0.6,0.6,0.8,15.600000000000001,0.5052631578947369,0.9125000000000001,0.75,0.09523809523809523,0.5946553884711779,0.85,Elite
2018,RIC,Red Bull,5,47.0,5.6,9.4,1,1,3,10.0,9.4,0.2,0.6,2.0,13.200000000000001,0.49473684210526314,0.7625000000000001,0.25,0.38095238095238093,0.48796365914786966,0.8,Strong
2018,SAI,Renault,5,19.0,9.2,8.4,0,0,4,6.0,3.8,0.0,0.8,1.2,9.600000000000001,0.2,0.5375000000000001,0.0,0.19047619047619047,0.22654761904761905,0.55,Strong
2018,SIR,Williams,5,0.0,16.6,16.8,0,0,0,9.0,0.0,0.0,0.0,1.8,2.1999999999999993,0.0,0.07499999999999996,0.0,0.3333333333333333,0.048333333333333325,0.05,Weak
2018,STR,Williams,5,4.0,15.8,12.2,0,0,1,19.0,0.8,0.0,0.2,3.8,3.0,0.042105263157894736,0.125,0.0,0.8095238095238095,0.12700501253132834,0.3,Average
2018,VAN,McLaren,5,8.0,13.2,10.8,0,0,3,16.0,1.6,0.0,0.6,3.2,5.600000000000001,0.08421052631578947,0.2875000000000001,0.0,0.6666666666666666,0.1662719298245614,0.45,Average
2018,VER,Red Bull,5,33.0,6.8,9.8,1,0,3,2.0,6.6,0.2,0.6,0.4,12.0,0.3473684210526316,0.6875,0.25,0.0,0.36118421052631583,0.75,Strong
2018,VET,Ferrari,5,78.0,1.8,3.6,2,2,5,2.0,15.6,0.4,1.0,0.4,17.0,0.8210526315789474,1.0,0.5,0.0,0.7105263157894737,0.95,Elite
2019,ALB,Toro Rosso,5,3.0,9.4,11.0,0,0,2,3.0,0.6,0.0,0.4,0.6,9.6,0.026785714285714284,0.5308641975308642,0.0,0.15789473684210525,0.13535517033324052,0.3,Average
2019,BOT,Mercedes,5,105.0,1.8,1.6,5,2,5,3.0,21.0,1.0,1.0,0.6,17.2,0.9375,1.0,1.0,0.15789473684210525,0.8845394736842105,0.95,Elite
2019,GAS,Red Bull,5,21.0,8.4,9.6,0,0,3,11.0,4.2,0.0,0.6,2.2,10.6,0.1875,0.5925925925925926,0.0,0.5789473684210527,0.2701632553606238,0.75,Strong
2019,GIO,Alfa Romeo,5,0.0,16.8,13.8,0,0,0,16.0,0.0,0.0,0.0,3.2,2.1999999999999993,0.0,0.07407407407407403,0.0,0.8421052631578947,0.09902534113060428,0.15,Weak
2019,GRO,Haas F1 Team,5,1.0,9.6,15.4,0,0,1,0.0,0.2,0.0,0.2,0.0,9.4,0.008928571428571428,0.5185185185185186,0.0,0.0,0.10816798941798944,0.2,Weak
2019,HAM,Mercedes,5,112.0,2.0,1.4,5,3,5,4.0,22.4,1.0,1.0,0.8,17.0,1.0,0.9876543209876544,1.0,0.21052631578947367,0.9185834957764781,1.0,Elite
2019,HUL,Renault,5,6.0,10.2,14.2,0,0,1,5.0,1.2,0.0,0.2,1.0,8.8,0.05357142857142857,0.48148148148148157,0.0,0.2631578947368421,0.1493978000556948,0.45,Average
2019,KUB,Williams,5,0.0,15.0,16.8,0,0,0,8.0,0.0,0.0,0.0,1.6,4.0,0.0,0.1851851851851852,0.0,0.42105263157894735,0.07914230019493178,0.1,Weak
2019,KVY,Toro Rosso,5,3.0,11.2,13.8,0,0,2,8.0,0.6,0.0,0.4,1.6,7.800000000000001,0.026785714285714284,0.4197530864197532,0.0,0.42105263157894735,0.13944873758470253,0.35,Average
2019,LEC,Ferrari,5,57.0,4.6,4.6,1,0,5,3.0,11.4,0.2,1.0,0.6,14.4,0.5089285714285714,0.8271604938271605,0.2,0.15789473684210525,0.47568585816392833,0.8,Strong
2019,MAG,Haas F1 Team,5,14.0,8.4,10.4,0,0,2,2.0,2.8,0.0,0.4,0.4,10.6,0.125,0.5925925925925926,0.0,0.10526315789473684,0.1915448343079922,0.65,Strong
2019,NOR,McLaren,5,12.0,9.8,12.8,0,0,2,3.0,2.4,0.0,0.4,0.6,9.2,0.10714285714285714,0.5061728395061729,0.0,0.15789473684210525,0.17059547015687368,0.55,Strong
2019,PER,Racing Point,5,13.0,11.2,10.4,0,0,3,8.0,2.6,0.0,0.6,1.6,7.800000000000001,0.11607142857142858,0.4197530864197532,0.0,0.42105263157894735,0.18409159472755968,0.6,Strong
2019,RAI,Alfa Romeo,5,13.0,8.8,9.6,0,0,4,6.0,2.6,0.0,0.8,1.2,10.2,0.11607142857142858,0.5679012345679012,0.0,0.3157894736842105,0.2031949085677156,0.7,Strong
2019,RIC,Renault,5,6.0,10.4,15.2,0,0,1,1.0,1.2,0.0,0.2,0.2,8.6,0.05357142857142857,0.4691358024691358,0.0,0.05263157894736842,0.1258760326742783,0.25,Average
2019,RUS,Williams,5,0.0,18.0,15.8,0,0,0,11.0,0.0,0.0,0.0,2.2,1.0,0.0,0.0,0.0,0.5789473684210527,0.05789473684210527,0.05,Weak
2019,SAI,McLaren,5,10.0,12.0,13.6,0,0,2,6.0,2.0,0.0,0.4,1.2,7.0,0.08928571428571429,0.3703703703703704,0.0,0.3157894736842105,0.15029587858535226,0.5,Average
2019,STR,Racing Point,5,4.0,15.8,12.6,0,0,2,19.0,0.8,0.0,0.4,3.8,3.1999999999999993,0.03571428571428571,0.13580246913580243,0.0,1.0,0.14501763668430334,0.4,Average
2019,VER,Red Bull,5,66.0,4.4,3.6,2,0,5,4.0,13.2,0.4,1.0,0.8,14.6,0.5892857142857143,0.8395061728395062,0.4,0.21052631578947367,0.5635967232897058,0.9,Elite
2019,VET,Ferrari,5,64.0,2.8,3.8,2,0,5,0.0,12.8,0.4,1.0,0.0,16.2,0.5714285714285714,0.9382716049382716,0.4,0.0,0.5533686067019401,0.85,Elite
2020,ALB,Red Bull,5,36.0,8.8,7.0,0,0,4,18.0,7.2,0.0,0.8,3.6,10.399999999999999,0.3364485981308411,0.5802469135802468,0.0,0.9,0.37427368178146997,0.7619047619047619,Strong
2020,BOT,Mercedes,5,73.0,2.0,4.0,4,1,4,2.0,14.6,0.8,0.8,0.4,17.2,0.6822429906542056,1.0,1.0,0.1,0.7511214953271028,0.9047619047619048,Elite
2020,GAS,AlphaTauri,5,12.0,9.4,12.0,0,0,2,9.0,2.4,0.0,0.4,1.8,9.799999999999999,0.11214953271028037,0.5432098765432098,0.0,0.45,0.20971674166378218,0.47619047619047616,Average
2020,GIO,Alfa Romeo,5,2.0,18.0,14.2,0,0,1,19.0,0.4,0.0,0.2,3.8,1.1999999999999993,0.018691588785046728,0.012345679012345635,0.0,0.95,0.1068149301949925,0.23809523809523808,Weak
2020,GRO,Haas F1 Team,5,0.0,9.0,15.4,0,0,0,1.0,0.0,0.0,0.0,0.2,10.2,0.0,0.5679012345679012,0.0,0.05,0.11858024691358025,0.2857142857142857,Average
2020,HAM,Mercedes,5,107.0,2.0,1.8,4,3,5,1.0,21.4,0.8,1.0,0.2,17.2,1.0,1.0,1.0,0.05,0.9049999999999999,1.0,Elite
